Park Name,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,TentCampers,
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,1,"12,578",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,2,"10,626",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,3,"18,062",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,4,"63,214",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,5,"187,205","7,500","10,248","1,737"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,6,"359,661","7,500","20,187","4,776"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,7,"606,597","7,500","36,642","7,992"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,8,"666,767","7,500","36,042","7,902"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,9,"479,320","7,500","23,814","7,206"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,10,"344,362","6,000","8,067","2,481"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,11,"48,912",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2015,12,"13,880",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,1,"17,204",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,2,"16,530",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,3,"28,121",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,4,"94,199",600,885,168
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,5,"217,147","7,500","10,521","1,854"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,6,"445,410","7,500","25,488","7,938"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,7,"696,854","7,500","39,942","11,757"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,8,"735,945","7,500","40,557","11,649"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,9,"570,434","7,500","23,148","10,044"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,10,"412,416","6,000","12,270","3,219"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,11,"55,022",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2016,12,"14,111",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,1,"15,520",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,2,"14,342",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,3,"20,936",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,4,"85,267",600,594,195
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,5,"222,978","7,500","10,827","3,213"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,6,"476,191","7,500","24,372","9,360"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,7,"743,529","7,500","39,429","12,642"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,8,"762,436","7,500","39,864","11,874"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,9,"595,388","7,500","27,054","13,554"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,10,"507,594","6,000","10,446","4,974"
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,11,"53,006",600,0,0
Acadia National Park ,ACAD,National Park,Northeast ,ME,2017,12,"12,084",600,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,1,"20,699",0,288,137
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,2,"34,255",0,842,432
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,3,"103,649",0,"3,853","1,401"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,4,"138,903",0,"3,364","2,157"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,5,"179,804",0,"3,745","2,271"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,6,"189,073",0,"3,548","1,817"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,7,"195,748",0,"2,684","1,588"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,8,"173,186",0,"2,692","1,904"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,9,"171,711",0,"1,971","1,723"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,10,"115,859",0,"2,570","2,026"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,11,"49,087",0,"1,282",838
Arches National Park ,ARCH,National Park,Intermountain ,UT,2015,12,"27,273",0,319,271
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,1,"20,311",0,274,197
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,2,"33,200",0,850,451
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,3,"119,122",0,"2,786","1,674"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,4,"151,112",0,"3,172","2,157"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,5,"201,718",0,"3,632","2,217"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,6,"211,706",0,"3,356","1,520"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,7,"210,359",0,"2,740","1,709"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,8,"188,340",0,"2,946","2,273"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,9,"200,906",0,"3,027","2,217"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,10,"146,250",0,"2,808","2,150"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,11,"69,404",0,"2,047","1,956"
Arches National Park ,ARCH,National Park,Intermountain ,UT,2016,12,"33,290",0,408,137
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,1,"21,549",0,338,113
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,2,"38,248",0,886,552
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,3,"128,508",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,4,"155,286",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,5,"188,726",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,6,"193,060",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,7,"192,767",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,8,"177,764",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,9,"187,603",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,10,"138,325",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,11,"72,867",0,0,0
Arches National Park ,ARCH,National Park,Intermountain ,UT,2017,12,"44,325",0,202,161
Badlands National Park,BADL,National Park,Midwest ,SD,2015,1,"10,414","2,979",0,11
Badlands National Park,BADL,National Park,Midwest ,SD,2015,2,"10,942","1,978",11,8
Badlands National Park,BADL,National Park,Midwest ,SD,2015,3,"21,924","2,482",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2015,4,"27,193","3,070",30,46
Badlands National Park,BADL,National Park,Midwest ,SD,2015,5,"68,239","6,296",338,80
Badlands National Park,BADL,National Park,Midwest ,SD,2015,6,"191,593","8,836",790,220
Badlands National Park,BADL,National Park,Midwest ,SD,2015,7,"245,400","10,198","1,417",42
Badlands National Park,BADL,National Park,Midwest ,SD,2015,8,"231,866","10,898","1,288",198
Badlands National Park,BADL,National Park,Midwest ,SD,2015,9,"117,724","7,330",483,129
Badlands National Park,BADL,National Park,Midwest ,SD,2015,10,"34,498","5,134",190,76
Badlands National Park,BADL,National Park,Midwest ,SD,2015,11,"16,771","3,616",80,46
Badlands National Park,BADL,National Park,Midwest ,SD,2015,12,"12,790","3,094",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,1,"10,826","2,816",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,2,"10,921","3,268",30,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,3,"20,501","3,940",350,30
Badlands National Park,BADL,National Park,Midwest ,SD,2016,4,"22,812","5,001",255,34
Badlands National Park,BADL,National Park,Midwest ,SD,2016,5,"78,863","7,222",840,42
Badlands National Park,BADL,National Park,Midwest ,SD,2016,6,"196,209","9,220","1,706",251
Badlands National Park,BADL,National Park,Midwest ,SD,2016,7,"249,194","10,110","1,607",228
Badlands National Park,BADL,National Park,Midwest ,SD,2016,8,"217,071","9,332","1,550",334
Badlands National Park,BADL,National Park,Midwest ,SD,2016,9,"129,350","7,568",939,475
Badlands National Park,BADL,National Park,Midwest ,SD,2016,10,"33,380","5,348",475,106
Badlands National Park,BADL,National Park,Midwest ,SD,2016,11,"17,970","3,622",182,0
Badlands National Park,BADL,National Park,Midwest ,SD,2016,12,"9,166","3,274",0,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,1,"10,380","3,136",6,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,2,"11,149","2,772",5,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,3,"21,498","3,932",25,0
Badlands National Park,BADL,National Park,Midwest ,SD,2017,4,"23,166","4,592",73,53
Badlands National Park,BADL,National Park,Midwest ,SD,2017,5,"85,967","6,834",704,162
Badlands National Park,BADL,National Park,Midwest ,SD,2017,6,"213,966","8,738","1,749",170
Badlands National Park,BADL,National Park,Midwest ,SD,2017,7,"263,506","9,216","1,039",158
Badlands National Park,BADL,National Park,Midwest ,SD,2017,8,"237,125","9,160",767,177
Badlands National Park,BADL,National Park,Midwest ,SD,2017,9,"127,598","7,302",380,96
Badlands National Park,BADL,National Park,Midwest ,SD,2017,10,"33,426","5,631",155,35
Badlands National Park,BADL,National Park,Midwest ,SD,2017,11,"16,807","3,942",23,7
Badlands National Park,BADL,National Park,Midwest ,SD,2017,12,"9,737","2,204",4,1
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,1,"30,297",197,"5,615","2,901"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,2,"39,199",197,"3,116","5,156"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,3,"68,292",197,"6,632","3,738"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,4,"43,927",197,"8,278","4,555"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,5,"30,707",197,"5,373","1,032"
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,6,"16,697",197,"3,896",441
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,7,"22,887",197,"3,175",222
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,8,"17,562",197,"2,418",113
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,9,"16,678",197,"2,548",249
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,10,"23,237",197,"4,421",984
Big Bend National Park,BIBE,National Park,Intermountain ,TX,2015,11,"42,687",197,"6,620","2,623"
